stock_id,stock_name
TFSC,1347 Capital Corp.
TFSCR,1347 Capital Corp.
TFSCU,1347 Capital Corp.
TFSCW,1347 Capital Corp.
PIH,"1347 Property Insurance Holdings, Inc."
FLWS,"1-800 FLOWERS.COM, Inc."
FCTY,"1st Century Bancshares, Inc"
FCCY,1st Constitution Bancorp (NJ)
SRCE,1st Source Corporation
VNET,"21Vianet Group, Inc."
TWOU,"2U, Inc."
DGLD,3X Inverse Gold ETN Velocityshares
DSLV,3X Inverse Silver ETN Velocityshares
UGLD,3X Long Gold ETN Velocityshares
USLV,3X Long Silver ETN Velocityshares
JOBS,"51job, Inc."
SIXD,"6D Global Technologies, Inc."
CAFD,8point3 Energy Partners LP
EGHT,8x8 Inc
AVHI,"A V Homes, Inc."
SHLM,"A. Schulman, Inc."
AAON,"AAON, Inc."
ABAX,"ABAXIS, Inc."
ABY,Abengoa Yield plc